"personne_id","nom","prenom","naissance","deces","nationalite","artiste"
"0530881e-bdb6-4514-8f34-d31eaab93f3c",Capshaw,Kate,1953-11-03,,us,
"86e66f4c-0b10-46ad-b242-8bdf2d704b46",O'Rourke,Heather Michele,1975-12-27,1988-02-01,us,Heather O'Rourke
"9e7fb208-0ecf-4c5c-869c-4298eb9f0a4c",Goldblum,Jeff,1952-10-22,,us,
ea853bcb-5133-40e4-9269-735d810c84b2,Davis,Geena,1956-01-21,,us,
"0aad4cbf-f619-4c1f-8bc4-b64de594ffa6",Jennifer,Beals,1963-12-19,,us,
"05a69667-f2e5-43ff-ae07-6d236d3598b4",Bridges,Jeffrey Leon,1949-12-04,,us,Jeff Bridges
"88826d9b-81ec-4e7c-8783-aa52f9a8b6fc",Swayze,Patrick Wayne,1952-08-18,2009-09-14,us,Patrick Swayze
"68f0d3b2-8748-4d91-92ef-a5fc02ffc53b",Bowers,Deanna Lee,1948-12-14,,us,Dee Wallace-Stone
cf13b736-49c6-40fd-8484-49732ddb9b09,Thompson,Lea Katherine,1961-05-31,,us,Lea Thompson
ec70b59b-2b49-4122-97a7-e1598b95500f,Cates,Phoebe Belle,1963-07-16,,us,Phoebe Cates
"8add261c-9aff-44f2-9aa1-63a3f33eac8d",Grey,Jennifer,1960-03-26,,us,
f3c5dd03-43b7-4fd1-b88f-0a844a96a2be,Hogan,Paul,1939-10-08,,au,
"608481e7-befa-4b88-b701-d9fa9830a329",Kozlowski,Linda,1958-01-07,,us,
eae4c21d-3ea5-4a8e-8765-dc9364ba26ba,Sarandon,Chris,1942-07-24,,us,
"706ae11c-1c62-4e6b-a864-b1cfb69822a8",Clavier,Christian,1952-05-06,,fr,
"39f9cb9a-dd57-4941-85b3-e7fbb5f4655c",Chazel,Marie-Anne,1951-09-19,,fr,
"373eaca2-1eaa-449d-a24b-1f25af2a2263",Blanc,Michel,1952-04-16,,fr,
eca2280e-2f4f-496b-a90e-172f82805fc8,Balasko,Josiane,1950-04-15,,fr,
"96b6fde8-7cb4-4b10-a35d-8e5643da45f9",Lhermitte,Thierry,1952-11-24,,fr,
"85e7a0c6-4d33-4e8d-9669-393055db48d4",Jugnot,Gérard,1951-05-04,,fr,
"1daf693b-6969-4269-a9e7-16b8f4933ffe",Bourguignon,Anne,1950-08-09,2019-04-30,fr,Anémone
eaf2f2df-36f0-4d6a-ae64-846918cc24e9,Depardieu,Gérard,1948-12-27,,fr,
bbe7935d-8c2c-4364-ae51-820c755fc172,Herry,Sylvette,1950-02-22,,fr,Miou-Miou
"8dec5ff2-a3f1-4f43-b727-c954e0131efd",Pedersoli,Carlo,1929-10-31,2016-06-27,it,Bud Spencer
c212ad64-fb4f-4af4-bfb8-c2dc312fe480,Girotti,Mario,1929-03-29,,it,Terence Hill
"40a8750c-691d-4cc0-a041-fad822a1a9ca",Dell'Acqua,Ottaviano,1955-03-13,,it,
"0b221e5e-8824-49f4-bf00-09cffd5f89c2",Defays,Pierre-Richard,1934-08-16,,fr,Pierre Richard
"4233c003-5019-4f58-a2e3-796ffba6a1d8",Morita,Noriyuki,1932-06-28,2005-11-24,us,Pat Morita
f03d0347-f50b-40e8-a54e-6d4150cf66a1,Ermey,Ronald Lee,1944-03-24,2018-04-15,us,R. Lee Ermey
"3ce1e09e-6cb0-4e8e-a426-75ec15c7e690",Wong,Victor,1927-07-30,2001-09-12,us,
edffc687-a2d7-464c-9210-21eb3f76363a,Sandweiss,Ellen,1958-12-30,,us,
"8c077f12-c8cc-4902-9797-17e29fb22bd8",Baker,Betsy,1955-05-08,,us,
"2a6c8bbd-304d-4201-a977-0ae2243aff05",Leconte,Patrice,1947-11-12,,fr,
"57aa6745-b209-4c82-b360-ee72aea696b5",Weller,Peter,1947-06-24,,us,
cb8c4859-720b-4ef4-b1fa-278200594540,Lalanne,Alain,1978-01-14,,fr,Alain Musy
"82404f5e-59d1-45d6-a0e0-ea07695377bd",Kenworthy,Michael,1975-08-18,,us,
fd6f055c-6de9-4044-b6eb-3bad3fba5968,Gulager,William Martin,1928-11-16,2022-08-05,us,Clu Gulager
"705e5be2-7781-4305-ae6e-d088a2cbcd0b",Broderick,Matthew,1962-03-21,,us,
a5b4eea4-8970-4943-ad3a-0e01830f489e,Gansbacher,Margit,1962-10-12,,it,Margie Newton
"55dfbb9a-bef3-410e-b7a2-6c78b1f5200a",Alves,Joseph Manuel,1936-05-21,,us,Joe Alves
"9ba16814-0229-4025-927c-795cd4d6dd07",Stallone,Sylvester,1946-07-06,,us,
"10abd4fe-3501-4e66-9404-642affce8f8e",Norris,Chuck,1940-03-10,,us,
"46c31ee2-f27f-4049-95d4-e3bf625ec924",Nielsen,Brigitte,1963-07-15,,dk,
"60369b57-d42e-4cf5-8c02-8e6f28d825a7",Van Damme,Jean-Claude,1960-10-18,,be,
"30e140ad-88c1-47d0-84e2-3a70d8398692",Lambert,Christophe,1957-03-29,,fr,
bd280de3-2180-45ac-9819-0b1a9dcb9ce7,Dudikoff,Michael,1954-10-08,,us,
"42730da3-7ba6-429b-ade8-f9d0287931d8",Seagal,Steven,1952-04-10,,us,
e51dafbc-1271-44ff-884f-700cbcbc3f2b,Russel,Kurt,1951-03-17,,us,
"450c6276-60bc-4791-bee4-3152145af6e7",Schwarzenegger,Arnold,1947-07-30,,at,
"731f8970-90cc-4173-ab8c-6a0d91453014",Williamson,Fred,1938-03-05,,us,
"21c2b10a-358e-408b-abd2-5bf391b77927",Weathers,Carl,1948-01-14,2024-02-01,us,
"44300acc-7c79-4769-8529-0b6f4e83708c",Gosset Jr.,Louis,1936-05-27,,us,
b7770571-dac0-4ce4-a95a-25c37342d642,James,Steve,1952-02-19,1993-12-18,us,
b2e7842d-cc7a-47d7-8a99-625359b685a7,Stone,Sharon,1958-03-10,,us,
"314d4062-e9f6-428f-8ac6-51f9f62c4527",Ramis,Harold,1944-11-21,2014-02-24,us,
"9f69c024-b15c-4bf2-8f53-d968337306ea",Weaver,Susan Alexandra,1949-10-08,,us,Sigourney Weaver
"9f72b128-e7cb-4ee1-9f4f-801e655b430a",Moranis,Rick,1953-04-18,,ca,
e958e229-9a7d-449f-b7eb-0abbdbe58f95,Reitman,Ivan,1946-10-27,,cz,
d247621e-d5c0-4918-8990-09a45f8fa613,Carpenter,John,1948-01-16,,us,
"6c521eab-6201-4636-a702-ebaa9ce48f0b",Davis,Andrew,1946-11-21,,us,
"5b0fe5e7-f6b2-441d-98ff-cbe8676d4bec",Margheriti,Edoardo,1959-02-15,,it,
"02a87b57-b8e5-4730-aef2-e31ded2de0ac",Nelson,Gary,1934-01-01,2022-05-25,us,
"82d638a4-8899-4917-ab72-07e0ff751538",Lundgren,Dolph,1957-11-03,,se,
"7f61045e-1fdf-493f-bb9a-ddde285488e8",Ward,Sophy,1964-12-30,,gb,
"0e0d6db8-0e7f-403e-a3ba-b07acf25c55c",Flynn,John,1932-03-14,2007-04-04,us,
"2755c6f7-551a-4c38-82e4-ea589d347e1b",McTiernan,John,1951-01-08,,us,
"03eaa5ea-ad8e-4342-b2f5-8d26ec0bbe46",Zito,Joseph,1946-05-14,,us,
"7621214a-3461-4d5f-bf72-6b4aaeb9e849",Golan,Menahem,1929-05-31,2014-08-08,il,
"94761b79-63b5-4ad6-a0b0-5f529c3c6981",Ciriaci,Pierluigi,1946-02-04,2009-03-06,it,
"38d69333-f86e-4e30-b3f8-04e349ade801",Fleischer,Richard,1916-12-08,2006-03-25,us,
"72925ff0-346f-4f14-bb98-28ca29645685",Howard,Ron,1954-03-01,,us,
c9239136-f8e1-4d4d-8dd9-59970bb6c23a,Lettich,Sheldon,1951-01-14,,us,
"6d9b26e6-e668-441b-80bc-36f1b8cb0e2d",Gordon,Stuart,1947-08-11,2020-03-24,us,
"38e1ba01-163a-4262-9ce3-a8b95ea6e687",Kotcheff,Ted,1931-04-07,,ca,
"0644f877-b577-44e4-af03-49d0f199a332",Petersen,Wolfgang,1941-03-14,2022-08-12,de,
d1d7a1a5-bb64-45e2-9595-5c7c8a31df73,Konchalovsky,Andreï,1937-08-20,,ru,
"081629e8-d46f-4a52-b54e-75a4eb7d3b11",Gosling,Paula,1939-10-12,,us,
"1879fdcb-078f-4bc3-adba-0fc4e0f16db6",Shire,Talia,1946-04-25,,us,
"1e8b43c2-94ed-4610-ba42-9e90fdd23259",Morrell,David,1943-04-24,,ca,
a3591726-da0e-4ecd-927b-41d90a04c3a9,De Louise,Gerald Tommaso,1940-04-30,,us,Burt Young
"28794c25-dafb-4f23-96a2-a1987a682385",Tureaud,Laurence,1952-05-21,,us,Mr. T
"7c24d6f5-5c8a-473c-8945-2467d86e3abc",Stallone,Sage,1976-05-05,2012-07-13,us,
"695620ef-03a8-44d2-9fa2-966b9eeede41",Avildsen,John Guilbert,1935-12-21,2017-06-16,us,John G. Avildsen
"3fcd9ae0-5ab6-4b60-af23-a84608e2469a",Murray,William James,1950-09-21,,us,Bill Murray
"28188765-6046-4c73-9145-e4d860750b5b",Potts,Annie,1952-10-28,,us,
b15bb7c5-f6d0-48eb-9a1e-703530203340,Hudson,Ernie,1945-12-17,,us,
e44e8d89-5845-4048-acfd-cee0d7f054a1,Biehn,Michael,1956-07-31,,us,
cd48fccf-299f-49b5-9064-abd78f938df7,Margulies,David Joseph,1937-02-19,2016-01-11,us,David Margulies
"2304edf2-cabe-4ffd-85a6-4d4edcd80530",Atherton,William,1947-07-30,,us,
b4e88855-0164-453b-bcf0-45a7f677c8dd,Turner,Kathleen,1954-06-19,,us,
"436b9127-6cb4-4e89-ad98-82a98f7e847b",Douglas,Michael,1944-09-25,,us,
"89797198-6014-4d49-97e5-3392bbcfcf67",Zemeckis,Robert Lee,1952-05-14,,us,Robert Zemeckis
"2e24400b-2353-4be5-b6de-746870abf0cc",DeVito,Daniel Michael,1944-11-17,,us,Danny DeVito
"2fde32d6-3e8b-48ac-96ba-80056449cbbe",Chamberlain,Richard,1934-03-31,,us,
"594436cf-1f7a-4a96-8f41-53792e1d10df",Crystal,William Edward,1948-03-14,,us,Billy Crystal
"26b8f537-0d34-4654-884d-45991b25f862",Cameron,James,1954-08-16,,us,
