"id","site","identifiant"
"3d036187-2c03-4831-ac66-6bfdbf91ba1e",1,"679"
"3d036187-2c03-4831-ac66-6bfdbf91ba1e",2,tt0090605
"3d036187-2c03-4831-ac66-6bfdbf91ba1e",3,"Aliens,_le_retour"
"3d036187-2c03-4831-ac66-6bfdbf91ba1e",4,gaJFi3LiFOQ
"428bc8c4-3f25-4a21-862e-f5d4abd1cf2c",1,"78"
"428bc8c4-3f25-4a21-862e-f5d4abd1cf2c",2,tt0083658
"278988e2-b6e2-4bec-9f37-3f4fadda6454",1,"15379"
"278988e2-b6e2-4bec-9f37-3f4fadda6454",2,tt0087727
"7ca570a2-2cd8-4f27-a324-d732e9ba3294",1,"578"
"7ca570a2-2cd8-4f27-a324-d732e9ba3294",2,tt0073195
"94666aeb-13c6-47d8-a8c9-6051636b6102",1,"1368"
"94666aeb-13c6-47d8-a8c9-6051636b6102",2,tt0083944
fb74c2f9-8ef1-433e-a067-746b5e0bfd59,1,"601"
fb74c2f9-8ef1-433e-a067-746b5e0bfd59,2,tt0083866
c8569fc1-cf9f-4f55-9c6c-d100595847f6,1,"218"
c8569fc1-cf9f-4f55-9c6c-d100595847f6,2,tt0088247
"4636157e-7ed8-4472-bd59-cb5442604773",1,"78830"
"4636157e-7ed8-4472-bd59-cb5442604773",2,tt0082690
"8f3d2c9a-7e51-4966-b561-80c59d8bcc31",1,"1103"
"8f3d2c9a-7e51-4966-b561-80c59d8bcc31",2,tt0082340
"67db43b0-0dc8-4159-8848-98ee0c98f16e",1,"150"
"67db43b0-0dc8-4159-8848-98ee0c98f16e",2,tt0083511
a4edd221-02cc-4d8d-b599-c561004cb38d,1,"1621"
a4edd221-02cc-4d8d-b599-c561004cb38d,2,tt0086465
e155fb8f-15f9-4285-a742-7cc2a54aabcf,1,"927"
e155fb8f-15f9-4285-a742-7cc2a54aabcf,2,tt0087363
"890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a",1,"1366"
"890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a",2,tt0075148
"771f7f14-bdbf-4c61-8758-5bd200dbeada",1,"304322"
"771f7f14-bdbf-4c61-8758-5bd200dbeada",2,tt0148054
ecfc4dc1-57a8-4ef7-978f-0ee5f38843cb,1,"10484"
ecfc4dc1-57a8-4ef7-978f-0ee5f38843cb,2,tt0085354
"08d8ac52-4e53-4810-abe5-d9fd59025be8",1,"78409"
"08d8ac52-4e53-4810-abe5-d9fd59025be8",2,tt0085341
a9f73754-847d-43b7-9529-bfe7fecd487f,1,"1091"
a9f73754-847d-43b7-9529-bfe7fecd487f,2,tt0084787
df58b6ff-2faa-4a5e-a125-10fdae3fa7a7,1,"6341"
df58b6ff-2faa-4a5e-a125-10fdae3fa7a7,2,tt0085255
dacfc97e-7ad7-4fe1-ba9a-f1f2e956fa4c,1,"535"
dacfc97e-7ad7-4fe1-ba9a-f1f2e956fa4c,2,tt0085549
c818af7e-20e9-4172-b022-cb605f235a3f,1,"860"
c818af7e-20e9-4172-b022-cb605f235a3f,2,tt0086567
"1a316e25-c81d-4a98-92ec-7147c6c72ff1",1,"14645"
"1a316e25-c81d-4a98-92ec-7147c6c72ff1",2,tt0084555
"48535f31-8882-4263-af41-c9c0f87c8a1c",1,"79756"
"48535f31-8882-4263-af41-c9c0f87c8a1c",2,tt0086311
"59b41a22-7f4f-45f2-bb9e-5397fb3a6408",1,"9387"
"59b41a22-7f4f-45f2-bb9e-5397fb3a6408",2,tt0082198
"9ab02769-fa4b-41e4-ba7f-17eb8825dfa0",1,"8810"
"9ab02769-fa4b-41e4-ba7f-17eb8825dfa0",2,tt0082694
"8cf850f7-427a-4b4e-83f8-57690c774a37",1,"9326"
"8cf850f7-427a-4b4e-83f8-57690c774a37",2,tt0088011
"49006841-5ff8-4149-8c0a-1b87a158392f",1,"17692"
"49006841-5ff8-4149-8c0a-1b87a158392f",2,tt0085750
f97f9b4e-9d81-40ab-a15d-a229e05ed046,1,"48769"
f97f9b4e-9d81-40ab-a15d-a229e05ed046,2,tt0086079
"14e6d221-0a9e-4a3b-a311-ccb05d663b9a",1,"90"
"14e6d221-0a9e-4a3b-a311-ccb05d663b9a",2,tt0086960
"1a2693ad-3f29-408b-8b7c-b490f2287f7e",1,"609"
"1a2693ad-3f29-408b-8b7c-b490f2287f7e",2,tt0084516
ec6a42ec-6c44-495f-beca-ecc4c3dc093e,1,"1367"
ec6a42ec-6c44-495f-beca-ecc4c3dc093e,2,tt0079817
"1e94a4eb-3268-4e30-81a2-56cac00d56ea",1,"9610"
"1e94a4eb-3268-4e30-81a2-56cac00d56ea",2,tt0087078
"2f9676ba-0fba-42cc-b4e9-1a0a48b21260",1,"11896"
"2f9676ba-0fba-42cc-b4e9-1a0a48b21260",2,tt0094142
"3d4f7a0a-7288-451e-8e3c-f35028d7581f",1,"9340"
"3d4f7a0a-7288-451e-8e3c-f35028d7581f",2,tt0089218
e996c8e0-f531-4453-afeb-7496ca7a3179,1,"81122"
e996c8e0-f531-4453-afeb-7496ca7a3179,2,tt0092121
"13ee2642-1e88-4b5b-9e0e-1ca8940c8a2e",1,"9493"
"13ee2642-1e88-4b5b-9e0e-1ca8940c8a2e",2,tt0096320
"1df31ff4-6bf4-4cdd-b8ed-2f8067a8d5db",1,"11969"
"1df31ff4-6bf4-4cdd-b8ed-2f8067a8d5db",2,tt0108358
"770074ee-584e-41cb-8e15-fbd11247a4f1",1,"620"
"770074ee-584e-41cb-8e15-fbd11247a4f1",2,tt0087332
"1a824fa6-2716-4362-b09a-308fac8ff3fa",1,"9874"
"1a824fa6-2716-4362-b09a-308fac8ff3fa",2,tt0090859
"034b76fb-c0f0-43d1-bcd9-66b412bc5091",1,"11864"
"034b76fb-c0f0-43d1-bcd9-66b412bc5091",2,tt0089092
"33105a50-035c-4b5c-9104-d9e7a86fe421",1,"11829"
"33105a50-035c-4b5c-9104-d9e7a86fe421",2,tt0068154
b3b77d09-7b54-4c92-9b52-f71b57202f37,1,"988"
b3b77d09-7b54-4c92-9b52-f71b57202f37,2,tt0078966
"4509426e-05d5-487e-8eb1-4b5edfe7492a",1,"377"
"4509426e-05d5-487e-8eb1-4b5edfe7492a",2,tt0087800
"3c263c09-6fdb-4070-9a0a-8ee7357a2bc6",1,"10303"
"3c263c09-6fdb-4070-9a0a-8ee7357a2bc6",2,tt0089370
"27d9fcf0-8a76-4bf4-877e-8e2e2a8b27ce",1,"11904"
"27d9fcf0-8a76-4bf4-877e-8e2e2a8b27ce",2,tt0090357
b1ef0ebc-8702-4fa0-8976-13d3e3bf26b9,1,"87"
b1ef0ebc-8702-4fa0-8976-13d3e3bf26b9,2,tt0087469
"3b84cea3-1fc0-46e2-9288-c5bfa0ebf6d9",1,"551"
"3b84cea3-1fc0-46e2-9288-c5bfa0ebf6d9",2,tt0069113
ac7b9722-cae7-460d-a2d9-bf2594c2f035,1,"32037"
ac7b9722-cae7-460d-a2d9-bf2594c2f035,2,tt0074292
a4332d5e-a26f-46dc-9a57-c8ef53f5c3b0,1,"5919"
a4332d5e-a26f-46dc-9a57-c8ef53f5c3b0,2,tt0072308
"98d9d80d-1d62-4733-8376-8a45c2becbfb",1,"1541"
"98d9d80d-1d62-4733-8376-8a45c2becbfb",2,tt0103074
"27194226-f829-45e5-87cc-e75c20d1e17d",1,"10136"
"27194226-f829-45e5-87cc-e75c20d1e17d",2,tt0091129
e29b1921-ee51-4b5d-8b1e-a231760e67fa,1,"9394"
e29b1921-ee51-4b5d-8b1e-a231760e67fa,2,tt0067355
"3e0b4a6e-ac31-4eea-80c8-23bd7392884c",1,"623"
"3e0b4a6e-ac31-4eea-80c8-23bd7392884c",2,tt0095159
"0159b5a8-6005-48df-8193-4a33c3f3f07a",1,"847"
"0159b5a8-6005-48df-8193-4a33c3f3f07a",2,tt0096446
"1ffb3a43-6fe7-4bb2-82c6-622a79004264",1,"2756"
"1ffb3a43-6fe7-4bb2-82c6-622a79004264",2,tt0096754
babad69c-d9e9-4668-93da-f12899a80b45,1,"88"
babad69c-d9e9-4668-93da-f12899a80b45,2,tt0092890
f24aa41e-effb-4ab0-8068-3fd89eaa907e,1,"46959"
f24aa41e-effb-4ab0-8068-3fd89eaa907e,2,tt0096741
"2bd8cc93-eb2b-4afa-ae0b-786e7ae60211",1,"8009"
"2bd8cc93-eb2b-4afa-ae0b-786e7ae60211",2,tt0091203
d8e8472a-a08d-4c0a-a68f-9c058a83dc27,1,"9972"
d8e8472a-a08d-4c0a-a68f-9c058a83dc27,2,tt0097770
"4dafc2bb-39bd-4cc7-ad8a-76e74f377aeb",1,"1366"
"4dafc2bb-39bd-4cc7-ad8a-76e74f377aeb",2,tt0075148
"2efc6f4f-82cb-4a25-9143-7d6507f14438",1,"9426"
"2efc6f4f-82cb-4a25-9143-7d6507f14438",2,tt0091064
"27737bdf-de50-4367-a306-6fdef9af881e",1,"13597"
"27737bdf-de50-4367-a306-6fdef9af881e",2,tt0091369
"9da54652-3655-4cc3-87ce-8e3e4a5d36f5",1,"9626"
"9da54652-3655-4cc3-87ce-8e3e4a5d36f5",2,tt0089893
"2498a617-cc8d-4ef0-81a4-c992339c957f",1,"24929"
"2498a617-cc8d-4ef0-81a4-c992339c957f",2,tt0095990
"8a121e62-10bc-4dfd-a741-7dd440c467de",1,"9838"
"8a121e62-10bc-4dfd-a741-7dd440c467de",2,tt0089421
"6da1aacb-3ad5-451a-8314-423bcd8b9209",1,"764"
"6da1aacb-3ad5-451a-8314-423bcd8b9209",2,tt0083907
"26dfc3f2-ebe2-4410-b84a-8046864f62af",1,"600"
"26dfc3f2-ebe2-4410-b84a-8046864f62af",2,tt0093058
"414ad9e5-b970-4595-8f6c-44ade63b38fc",1,"9355"
"414ad9e5-b970-4595-8f6c-44ade63b38fc",2,tt0089530
b43b7e4f-3e71-45a0-b55e-2b5b82ccae70,1,"11797"
b43b7e4f-3e71-45a0-b55e-2b5b82ccae70,2,tt0089175
"629a01e7-1e63-407a-b2cd-04ad16438f47",1,"83223"
"629a01e7-1e63-407a-b2cd-04ad16438f47",2,tt0086176
"695fb599-9b9f-481e-9f62-ce52dddf918c",1,"9710"
"695fb599-9b9f-481e-9f62-ce52dddf918c",2,tt0092534
"412db3da-061b-4b62-9015-00649a08eb45",1,"1369"
"412db3da-061b-4b62-9015-00649a08eb45",2,tt0089880
"0ae82a80-bedc-4bc2-b6d7-d7eaab3d8bac",1,"12102"
"0ae82a80-bedc-4bc2-b6d7-d7eaab3d8bac",2,tt0079417
"0ae7f4b9-cd5d-4740-ab4b-24d5faeac626",1,"402"
"0ae7f4b9-cd5d-4740-ab4b-24d5faeac626",2,tt0103772
af80d4cc-e34a-48d0-85ed-a1227216eb88,1,"10915"
af80d4cc-e34a-48d0-85ed-a1227216eb88,2,tt0073036
"22038333-cf97-4ff0-bb8c-1c418370f2a8",1,"948"
